Outcome,Diff,Home,MP,FGA,FG%,3PA,3P%,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,-15,1,27:57:00,17,0.235,8,0,11,0.727,0,7,7,4,1,0,4,3,16,5.2,-19
0,-9,0,45:18:00,22,0.364,11,0.182,14,0.857,1,9,10,14,2,0,10,5,30,20.2,-9
0,-20,1,32:15:00,19,0.316,10,0.3,10,0.8,2,5,7,6,3,0,4,3,23,16.2,-15
1,6,1,35:50:00,19,0.579,10,0.5,14,0.714,0,4,4,7,2,1,3,1,37,31.9,-5
1,4,0,43:29:00,20,0.7,9,0.333,21,0.857,0,9,9,8,3,3,1,5,49,49.8,8
1,4,1,34:13:00,14,0.357,12,0.25,13,0.846,1,6,7,7,6,0,3,5,24,23.8,-7
0,-8,0,33:26:00,17,0.412,8,0.375,7,0.857,3,3,6,9,0,0,4,5,23,16.8,-8
1,16,1,35:38:00,19,0.579,10,0.5,12,1,1,7,8,12,3,1,10,2,39,34.2,16
1,17,0,32:51:00,21,0.476,12,0.25,9,1,0,8,8,7,3,1,4,1,32,27.9,24
0,-4,1,35:28:00,21,0.619,14,0.5,14,0.857,1,16,17,9,3,0,6,2,45,42.7,11
0,-38,1,26:17:00,16,0.563,9,0.444,5,1,0,3,3,10,1,2,7,1,27,22.3,-11
